operation_file_code,amount,currency,date_due,date_paid,status,direction,payer_type,method,reference,exchange_rate,financial_account_name
OP-20240115-ABC123,50000.00,ARS,2024-01-20,2024-01-18,PAID,INCOME,CUSTOMER,BANK,Transferencia 123456,,Banco Santander Cuenta Corriente
OP-20240115-ABC123,100000.00,ARS,2024-02-15,2024-02-10,PAID,INCOME,CUSTOMER,MP,Pago MP 789012,,Mercado Pago
OP-20240115-ABC123,120000.00,ARS,2024-01-25,2024-01-24,PAID,EXPENSE,OPERATOR,BANK,Pago a Despegar,,Banco Santander Cuenta Corriente
OP-20240120-XYZ789,2000.00,USD,2024-02-01,2024-01-28,PAID,INCOME,CUSTOMER,CASH,Recibo 001,920.00,Caja Principal USD
OP-20240120-XYZ789,2000.00,USD,2024-03-01,2024-02-25,PAID,INCOME,CUSTOMER,BANK,Transferencia 002,950.75,Banco Santander Caja de Ahorro USD
OP-20240120-XYZ789,1000.00,USD,2024-04-01,,PENDING,INCOME,CUSTOMER,,,,
OP-20240120-XYZ789,4000.00,USD,2024-02-05,2024-02-03,PAID,EXPENSE,OPERATOR,BANK,Pago Aerolíneas,920.00,Banco Santander Caja de Ahorro USD
OP-20240210-DEF456,60000.00,ARS,2024-02-20,2024-02-18,PAID,INCOME,CUSTOMER,BANK,Transferencia 003,,Banco Santander Cuenta Corriente
OP-20240210-DEF456,60000.00,ARS,2024-03-20,2024-03-15,PAID,INCOME,CUSTOMER,MP,Pago MP 456789,,Mercado Pago
OP-20240210-DEF456,60000.00,ARS,2024-04-20,,PENDING,INCOME,CUSTOMER,,,,
OP-20240210-DEF456,145000.00,ARS,2024-02-25,2024-02-23,PAID,EXPENSE,OPERATOR,BANK,Pago Latam y Hoteles,,Banco Santander Cuenta Corriente
OP-20240225-GHI789,3000.00,USD,2024-03-10,2024-03-08,PAID,INCOME,CUSTOMER,CASH,Recibo 002,1000.00,Caja Principal USD
OP-20240225-GHI789,3000.00,USD,2024-04-10,,PENDING,INCOME,CUSTOMER,,,,
OP-20240225-GHI789,4800.00,USD,2024-03-15,2024-03-12,PAID,EXPENSE,OPERATOR,BANK,Pago Hoteles.com,1000.00,Banco Santander Caja de Ahorro USD
OP-20240305-JKL012,4000.00,USD,2024-03-20,2024-03-18,PAID,INCOME,CUSTOMER,BANK,Transferencia 004,1025.50,Banco Santander Caja de Ahorro USD
OP-20240305-JKL012,4000.00,USD,2024-04-20,,PENDING,INCOME,CUSTOMER,,,,
OP-20240305-JKL012,6500.00,USD,2024-03-25,2024-03-22,PAID,EXPENSE,OPERATOR,BANK,Pago American Airlines,1025.50,Banco Santander Caja de Ahorro USD
OP-20240320-MNO345,100000.00,ARS,2024-04-05,2024-04-03,PAID,INCOME,CUSTOMER,BANK,Transferencia 005,,Banco Santander Cuenta Corriente
OP-20240320-MNO345,100000.00,ARS,2024-05-05,,PENDING,INCOME,CUSTOMER,,,,
OP-20240320-MNO345,160000.00,ARS,2024-04-10,2024-04-08,PAID,EXPENSE,OPERATOR,BANK,Pago Booking.com y Hoteles,,Banco Santander Cuenta Corriente
OP-20240410-PQR678,5000.00,USD,2024-04-25,2024-04-23,PAID,INCOME,CUSTOMER,BANK,Transferencia 006,1100.00,Banco Santander Caja de Ahorro USD
OP-20240410-PQR678,5000.00,USD,2024-05-25,,PENDING,INCOME,CUSTOMER,,,,
OP-20240410-PQR678,8000.00,USD,2024-04-30,2024-04-28,PAID,EXPENSE,OPERATOR,BANK,Pago Avianca,1100.00,Banco Santander Caja de Ahorro USD
OP-20240425-STU901,110000.00,ARS,2024-05-10,2024-05-08,PAID,INCOME,CUSTOMER,BANK,Transferencia 007,,Banco Santander Cuenta Corriente
OP-20240425-STU901,110000.00,ARS,2024-06-10,,PENDING,INCOME,CUSTOMER,,,,
OP-20240425-STU901,175000.00,ARS,2024-05-15,2024-05-13,PAID,EXPENSE,OPERATOR,BANK,Pago Copa Airlines y Hoteles,,Banco Santander Cuenta Corriente
